Product ID,Recommended Product ID,Label,Type,Priority,Estimated Price
2024-alpinestars-youth-tech-3s-boots,alpinestars-tech-10-supervented-boots-2025,Related in Boots,Explicit,Primary,739.95
2024-alpinestars-youth-tech-3s-boots,alpinestars-tech-10-enduro-boots,Related in Boots,Explicit,Secondary,739.95
2024-alpinestars-youth-tech-3s-boots,gaerne-sg-22-boots,Related in Boots,Explicit,Tertiary,699.99
2024-fly-racing-kinetic-prix-gloves,fly-formula-s-legacy-helmet,Related in Fly Gloves,Explicit,Primary,799.95
2024-fly-racing-kinetic-prix-gloves,fly-formula-carbon-tracer-helmet,Related in Fly Gloves,Explicit,Secondary,699.95
2024-fly-racing-kinetic-prix-gloves,fly-formula-cc-driver-helmet,Related in Fly Gloves,Explicit,Tertiary,499.95
2024-fly-racing-lite-pants,seven-zero-echelon-pants,Related in Motocross,Explicit,Primary,225.00
2024-fly-racing-lite-pants,fox-racing-flexair-energy-pants,Related in Motocross,Explicit,Secondary,209.95
2024-fly-racing-lite-pants,fox-racing-flexair-optical-pants,Related in Motocross,Explicit,Tertiary,209.95
2024-fly-racing-womens-lite-pants,klim-womens-rebelle-in-the-boot-overall,Related in Women's Offroad Gear,Explicit,Primary,299.99
2024-fly-racing-womens-lite-pants,fasthouse-womens-motorall-mx-white-black,Related in Women's Offroad Gear,Explicit,Secondary,250.00
2024-fly-racing-womens-lite-pants,fox-racing-womens-flexair-optical-pants,Related in Women's Offroad Gear,Explicit,Tertiary,209.95
2024-fly-racing-youth-f-16-gloves,fly-patrol-xc-gloves,Related in Fly Gloves,Explicit,Primary,63.95
2024-fly-racing-youth-f-16-gloves,2024-fly-racing-youth-zone-goggles,Related in Fly Gloves,Explicit,Secondary,59.95
2024-fly-racing-youth-f-16-gloves,fox-bomber-lt-gloves,Related in Fly Gloves,Explicit,Tertiary,49.95
2024-fly-racing-youth-focus-goggles,fly-formula-s-legacy-helmet,Related in Kid's Offroad Gear,Explicit,Primary,799.95
2024-fly-racing-youth-focus-goggles,fly-formula-carbon-tracer-helmet,Related in Kid's Offroad Gear,Explicit,Secondary,699.95
2024-fly-racing-youth-focus-goggles,fly-formula-cc-driver-helmet,Related in Kid's Offroad Gear,Explicit,Tertiary,499.95
2024-fly-racing-youth-zone-goggles,fly-formula-s-legacy-helmet,Related in Kid's Offroad Gear,Explicit,Primary,799.95
2024-fly-racing-youth-zone-goggles,fly-formula-carbon-tracer-helmet,Related in Kid's Offroad Gear,Explicit,Secondary,699.95
2024-fly-racing-youth-zone-goggles,fly-formula-cc-driver-helmet,Related in Kid's Offroad Gear,Explicit,Tertiary,499.95
2024-fly-racing-zone-goggles,fly-formula-s-legacy-helmet,Related in Fly Goggles,Explicit,Primary,799.95
2024-fly-racing-zone-goggles,6d-atr-2-fusion-helmet,Related in Fly Goggles,Explicit,Secondary,769.95
2024-fly-racing-zone-goggles,6d-atr-2-helmet,Related in Fly Goggles,Explicit,Tertiary,749.95
2024-fox-racing-absolute-flexfit-hat,fox-racing-ranger-off-road-jacket,Related in Fox Casual,Explicit,Primary,194.95
2024-fox-racing-absolute-flexfit-hat,fox-racing-rise-zip-fleece-hoody,Related in Fox Casual,Explicit,Secondary,159.95
2024-fox-racing-absolute-flexfit-hat,fox-racing-womens-howell-anorak-jacket,Related in Fox Casual,Explicit,Tertiary,129.95
2024-fox-racing-womens-comp-boots,fox-instinct-2-0-boots,Related in Women's Offroad Gear,Explicit,Primary,559.95
2024-fox-racing-womens-comp-boots,fox-racing-v3-rs-efekt-helmet,Related in Women's Offroad Gear,Explicit,Secondary,549.95
2024-fox-racing-womens-comp-boots,fox-racing-motion-x-off-road-boots,Related in Women's Offroad Gear,Explicit,Tertiary,504.95
2024-fox-racing-youth-comp-boots,alpinestars-tech-10-supervented-boots-2025,Related in Boots,Explicit,Primary,739.95
2024-fox-racing-youth-comp-boots,alpinestars-tech-10-enduro-boots,Related in Boots,Explicit,Secondary,739.95
2024-fox-racing-youth-comp-boots,gaerne-sg-22-boots,Related in Boots,Explicit,Tertiary,699.99
2024-klim-badlands-gtx-long-gloves,klim-adventure-gtx-short-gloves,Related in Klim,Explicit,Primary,179.99
2024-klim-badlands-gtx-long-gloves,klim-vanguard-gtx-long-gloves,Related in Klim,Explicit,Secondary,179.99
2024-klim-badlands-gtx-long-gloves,fox-racing-bomber-pro-gloves-26,Related in Klim,Explicit,Tertiary,159.95
2024-klim-tactical-ls-shirt,klim-badlands-pro-pants,Related in Protection,Explicit,Primary,799.99
